data_aplicaçao,data_atualizacao,tipo,media_tempo_gasto,total
2021-04-05,2021-06-29,consistent,12,2373
2021-04-04,2021-06-29,inconsistent,0,6
2021-04-04,2021-06-29,consistent,9,324
2021-04-03,2021-06-29,consistent,12,1426
2021-04-02,2021-06-29,inconsistent,0,2
2021-04-02,2021-06-29,consistent,11,460
2021-04-01,2021-06-29,consistent,24,3561
2021-03-31,2021-06-29,inconsistent,0,14
2021-03-31,2021-06-29,consistent,25,3821
2021-03-30,2021-06-29,inconsistent,0,4
2021-03-30,2021-06-29,consistent,25,4253
2021-03-29,2021-06-29,inconsistent,0,2
2021-03-29,2021-06-29,consistent,20,3129
2021-03-28,2021-06-29,inconsistent,0,2
2021-03-28,2021-06-29,consistent,6,1247
2021-03-27,2021-06-29,inconsistent,0,2
2021-03-27,2021-06-29,consistent,1,470
2021-03-26,2021-06-29,inconsistent,0,4
2021-03-26,2021-06-29,consistent,7,3300
2021-03-25,2021-06-29,inconsistent,0,11
2021-03-25,2021-06-29,consistent,3,4199
2021-03-24,2021-06-29,inconsistent,0,14
2021-03-24,2021-06-29,consistent,2,2123
2021-03-23,2021-06-29,inconsistent,0,4
2021-03-23,2021-06-29,consistent,1,1069
2021-03-22,2021-06-29,inconsistent,0,2
2021-03-22,2021-06-29,consistent,2,1171
2021-03-21,2021-06-29,consistent,2,83
2021-03-20,2021-06-29,inconsistent,0,6
2021-03-20,2021-06-29,consistent,3,148
2021-03-19,2021-06-29,inconsistent,0,4
2021-03-19,2021-06-29,consistent,4,899
2021-03-18,2021-06-29,inconsistent,0,2
2021-03-18,2021-06-29,consistent,5,1977
2021-03-17,2021-06-29,inconsistent,0,10
2021-03-17,2021-06-29,consistent,4,1227
2021-03-15,2021-06-29,inconsistent,0,8
2021-03-15,2021-06-29,consistent,4,805
2021-03-14,2021-06-29,consistent,4,55
2021-03-13,2021-06-29,consistent,5,198
2021-03-12,2021-06-29,inconsistent,0,4
2021-03-12,2021-06-29,consistent,10,1068
2021-03-11,2021-06-29,inconsistent,0,10
2021-03-11,2021-06-29,consistent,12,2167
2021-03-10,2021-06-29,inconsistent,0,48
2021-03-10,2021-06-29,consistent,11,1577
2021-03-09,2021-06-29,inconsistent,0,10
2021-03-09,2021-06-29,consistent,10,1019
2021-03-08,2021-06-29,inconsistent,0,16
2021-03-08,2021-06-29,consistent,5,309
2021-03-07,2021-06-29,inconsistent,0,4
2021-03-07,2021-06-29,consistent,3,84
2021-03-06,2021-06-29,inconsistent,0,6
2021-03-06,2021-06-29,consistent,3,234
2021-03-05,2021-06-29,inconsistent,0,44
2021-03-05,2021-06-29,consistent,3,1665
2021-03-04,2021-06-29,inconsistent,0,86
2021-03-04,2021-06-29,consistent,3,2311
2021-03-03,2021-06-29,inconsistent,0,38
2021-03-03,2021-06-29,consistent,9,1952
2021-03-02,2021-06-29,inconsistent,0,8
2021-03-02,2021-06-29,consistent,9,2494
2021-03-01,2021-06-29,inconsistent,0,12
2021-03-01,2021-06-29,consistent,9,1594
2021-02-28,2021-06-29,inconsistent,0,7
2021-02-28,2021-06-29,consistent,9,379
2021-02-27,2021-06-29,inconsistent,0,2
2021-02-27,2021-06-29,consistent,13,1238
2021-02-26,2021-06-29,inconsistent,0,8
2021-02-26,2021-06-29,consistent,13,3568
2021-02-25,2021-06-29,inconsistent,0,6
2021-02-25,2021-06-29,consistent,13,2116
2021-02-24,2021-06-29,inconsistent,0,2
2021-02-24,2021-06-29,consistent,11,759
2021-02-23,2021-06-29,inconsistent,0,4
2021-02-23,2021-06-29,consistent,7,786
2021-02-22,2021-06-29,inconsistent,0,2
2021-02-22,2021-06-29,consistent,7,1152
2021-02-21,2021-06-29,inconsistent,0,2
2021-02-21,2021-06-29,consistent,7,371
2021-02-20,2021-06-29,consistent,7,648
2021-02-19,2021-06-29,inconsistent,0,2
2021-02-19,2021-06-29,consistent,14,1292
2021-02-18,2021-06-29,inconsistent,0,4
2021-02-18,2021-06-29,consistent,14,2134
2021-02-17,2021-06-29,inconsistent,0,8
2021-02-17,2021-06-29,consistent,14,1807
2021-02-16,2021-06-29,inconsistent,0,8
2021-02-16,2021-06-29,consistent,14,942
2021-02-14,2021-06-29,consistent,1,167
2021-02-13,2021-06-29,inconsistent,0,2
2021-02-13,2021-06-29,consistent,2,323
2021-02-12,2021-06-29,inconsistent,0,8
2021-02-12,2021-06-29,consistent,4,786
2021-02-11,2021-06-29,inconsistent,0,9
2021-02-11,2021-06-29,consistent,4,667
2021-02-10,2021-06-29,consistent,4,833
2021-02-09,2021-06-29,consistent,3,576
2021-02-08,2021-06-29,inconsistent,0,4
2021-02-08,2021-06-29,consistent,5,961
2021-02-07,2021-06-29,inconsistent,0,3
2021-02-07,2021-06-29,consistent,0,75
2021-02-06,2021-06-29,inconsistent,0,4
2021-02-06,2021-06-29,consistent,1,206
2021-02-05,2021-06-29,consistent,3,578
2021-02-04,2021-06-29,inconsistent,0,4
2021-02-04,2021-06-29,consistent,3,607
2021-02-03,2021-06-29,inconsistent,0,6
2021-02-03,2021-06-29,consistent,5,872
2021-02-02,2021-06-29,inconsistent,0,4
2021-02-02,2021-06-29,consistent,2,553
2021-02-01,2021-06-29,inconsistent,0,6
2021-02-01,2021-06-29,consistent,3,869
2021-01-31,2021-06-29,consistent,1,160
2021-01-30,2021-06-29,inconsistent,0,2
2021-01-30,2021-06-29,consistent,2,700
2021-01-29,2021-06-29,inconsistent,0,6
2021-01-29,2021-06-29,consistent,4,1674
2021-01-28,2021-06-29,inconsistent,0,6
2021-01-28,2021-06-29,consistent,2,1007
2021-01-27,2021-06-29,consistent,3,1264
2021-01-26,2021-06-29,inconsistent,0,8
2021-01-26,2021-06-29,consistent,3,1201
2021-01-25,2021-06-29,inconsistent,0,10
2021-01-25,2021-06-29,consistent,3,936
2021-01-24,2021-06-29,consistent,0,98
2021-01-23,2021-06-29,inconsistent,0,8
2021-01-23,2021-06-29,consistent,1,206
2021-01-22,2021-06-29,inconsistent,0,14
2021-01-22,2021-06-29,consistent,3,1158
2021-01-21,2021-06-29,inconsistent,0,14
2021-01-21,2021-06-29,consistent,3,1654
2021-01-20,2021-06-29,inconsistent,0,6
2021-01-20,2021-06-29,consistent,2,1140
2021-01-19,2021-06-29,inconsistent,0,2
2021-01-19,2021-06-29,consistent,0,53
2021-01-18,2021-06-29,consistent,0,1
2020-03-23,2021-06-29,wrong_date,1,2
